task_id,target,task_weight,planned_task_duration_days,is_planned,is_cross_department,major_activity_weight,pct_of_planned_duration_elapsed,days_remaining_at_prediction,started_late,num_subtasks_as_of_prediction,subtask_completion_pct_as_of_prediction,has_subtasks_at_prediction,num_revisions_before_prediction,position_historical_overdue_rate,position_has_history,employee_active_workload_at_prediction,department_historical_overdue_rate,department_recent_overdue_rate_30d,department_has_history
00054c3e-d1ef-4990-9fa2-0594326b42fd,f,0.00,4,t,f,30.00,0.25000000000000000000,3,t,0,,f,1,0.163,t,214,0.185,0.059,t
00119967-ec49-45c7-8990-f685431294a8,f,0.00,3,t,f,33.00,0.33333333333333333333,2,t,0,,f,1,0.128,t,35,0.176,0.306,t
001d4863-d51e-4567-b3eb-e00675202d0b,f,0.00,6,f,f,33.00,0.16666666666666666667,5,t,0,,f,0,0.214,t,16,0.314,0.303,t
001d8567-c536-4192-afa9-b1096f9ba06c,f,0.00,4,f,f,34.00,0.25000000000000000000,3,t,0,,f,0,0.146,t,210,0.152,0.167,t
003d26ca-ce55-4936-8652-03cb9b327fe1,f,0.00,4,t,f,100.00,0.25000000000000000000,3,t,0,,f,1,0.181,t,127,0.251,0.237,t
003d945b-f473-4d6c-a27d-7b5b38961761,t,0.00,4,t,f,50.00,0.25000000000000000000,3,t,0,,f,1,0.267,t,13,0.267,0.194,t
004d85e5-2297-4953-9e98-29f1310ee209,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.121,t,243,0.119,0.023,t
0055b8fb-5740-4d25-b30f-1aa52cf7e7dd,t,0.00,3,t,f,25.00,0.33333333333333333333,2,t,0,,f,1,0.195,t,398,0.376,0.667,t
005e8524-f933-40df-a990-23b941c9b366,t,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.194,t,59,0.143,0.328,t
007751b2-df19-4025-b201-c63e1e4ef686,f,0.00,4,f,f,5.00,0.25000000000000000000,3,t,0,,f,0,0.141,t,347,0.214,0.160,t
0078e919-3ece-431d-aa7e-bc9959556cb4,f,0.00,4,t,f,28.00,0.25000000000000000000,3,t,0,,f,1,0.265,t,26,0.225,0.190,t
0084adfa-b4aa-41aa-957f-5cd4cd33ec58,t,0.00,4,t,f,17.00,0.25000000000000000000,3,t,0,,f,3,0.170,t,38,0.254,0.452,t
00857ca5-f4c7-49c7-8e9f-27be802f95f4,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,4,0.179,t,42,0.226,0.517,t
0097ee8a-d471-40e5-8e88-0ba7c90a6b0b,t,0.00,4,f,f,10.00,0.25000000000000000000,3,t,0,,f,0,0.242,f,3,0.214,0.420,t
009e0b2b-7cf3-4aec-8300-cf4cd3a17b5f,t,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.277,t,165,0.231,0.416,t
00a2ee9d-e191-4030-b9d5-a26ea0a0bb16,t,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.101,t,245,0.142,0.200,t
00a84dc3-edd3-4b34-9a3a-d9a5741818ed,f,0.00,4,f,t,48.00,0.25000000000000000000,3,t,0,,f,0,0.242,f,0,0.242,0.242,f
00ad4221-4bf9-4a5e-b24e-dc86d9487e26,f,0.00,4,f,f,18.00,0.25000000000000000000,3,t,0,,f,0,0.293,t,24,0.154,0.475,t
00adb564-63cc-4992-9e65-a7005973a1fa,f,0.00,3,t,t,34.00,0.33333333333333333333,2,t,0,,f,2,0.242,f,0,0.242,0.242,f
00ae49da-fbc8-4d6f-9100-5235660aa412,t,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.280,t,58,0.182,0.217,t
00b84483-0ffe-4556-89f8-48f12a68501e,f,0.00,6,f,f,33.00,0.16666666666666666667,5,t,0,,f,0,0.214,t,16,0.314,0.303,t
00b960cf-c106-4625-b529-561e135e415b,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.298,t,180,0.226,0.517,t
00d3964c-5a72-4ec6-b61b-018a3e5f73c8,f,0.00,4,t,f,10.00,0.25000000000000000000,3,t,0,,f,1,0.136,t,342,0.210,0.157,t
00d4c7c1-8426-42e8-915a-f8c2f9ed4d2d,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,2,0.137,t,100,0.178,0.265,t
00e41188-dd55-49d6-8b93-32ffce92057a,t,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.136,t,163,0.133,0.182,t
00f601d6-7c06-438b-86bb-693301aa0b3e,t,0.00,4,f,f,34.00,0.25000000000000000000,3,t,0,,f,2,0.465,t,195,0.369,0.701,t
00ffec0f-c419-4b4d-acc5-4607c0bcdcf4,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,2,0.090,t,348,0.129,0.114,t
010c527f-5de5-4c51-be23-09b8426a245f,f,0.00,4,t,f,15.00,0.25000000000000000000,3,t,0,,f,1,0.220,t,68,0.220,0.071,t
01124b30-6961-49e6-ac11-c4b2c8c576b7,f,0.00,4,f,f,30.00,0.25000000000000000000,3,t,0,,f,0,0.320,t,8,0.208,0.160,t
01161281-a4b7-4776-932b-cead13669aaa,f,0.00,4,f,f,14.00,0.25000000000000000000,3,t,0,,f,0,0.227,t,147,0.161,0.402,t
0116d687-d14b-43a6-bc9e-b656ff8f00fc,f,0.00,4,f,f,34.00,0.25000000000000000000,3,t,0,,f,2,0.246,t,46,0.246,0.082,t
012575bf-9094-43a6-9f4e-be999faddf63,t,0.00,3,t,f,34.00,0.33333333333333333333,2,t,0,,f,3,0.183,t,88,0.176,0.306,t
0132d0ae-3aa0-4161-8aea-91ce7b36b15a,f,0.00,4,t,f,50.00,0.25000000000000000000,3,t,0,,f,1,0.375,t,4,0.188,0.250,t
0134fd9a-9b47-433c-9081-6bd8123ee973,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.264,t,15,0.264,0.111,t
01406263-8742-4443-941c-74ab5e976a3f,f,0.00,4,t,f,10.00,0.25000000000000000000,3,t,0,,f,1,0.242,f,0,0.242,0.242,f
0146b814-55c5-4352-aeb3-95dcb5c75e4c,t,0.00,4,t,f,50.00,0.25000000000000000000,3,t,0,,f,2,0.345,t,12,0.345,0.667,t
014d17e7-db6a-4bc5-b58a-70489b1613ed,t,0.00,2,f,f,30.00,0.50000000000000000000,1,t,0,,f,0,0.101,t,101,0.085,1.000,t
0166b6b8-7ec3-4913-899f-112963b6bd95,f,0.00,3,f,t,34.00,0.33333333333333333333,2,t,0,,f,0,0.242,f,0,0.242,0.242,f
016894c2-64e8-46b5-a36c-00aab9cab023,f,0.00,4,t,f,10.00,0.25000000000000000000,3,t,0,,f,3,0.189,t,386,0.369,0.701,t
017af6c5-79a1-4fc7-ab2d-c5a0e1b8d648,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,5,0.00,t,6,0.242,f,0,0.242,0.242,f
018a59a2-7346-4508-9080-1752f778a1f7,t,0.00,4,f,f,25.00,0.25000000000000000000,3,t,0,,f,0,0.250,t,102,0.218,0.857,t
018c256c-7140-4232-8175-44b1d414dcc1,f,0.00,6,f,f,20.00,0.16666666666666666667,5,t,0,,f,0,0.527,t,23,0.304,0.147,t
0191693b-a3b4-4c89-af80-cdfcb0b6bf7b,f,0.00,4,t,f,13.00,0.25000000000000000000,3,t,0,,f,1,0.287,t,50,0.287,0.278,t
01c6844c-54bf-495e-8a8d-a19fa606a541,t,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.287,t,50,0.287,0.278,t
01d68244-75c7-44e7-b510-219eaebc1a4d,f,0.00,4,t,f,20.00,0.25000000000000000000,3,t,0,,f,2,0.319,t,173,0.254,0.452,t
01d74619-e051-4f3d-a07a-37a48cfc1f4e,f,0.00,4,t,t,25.00,0.25000000000000000000,3,t,0,,f,1,0.242,f,0,0.242,0.242,f
01d84081-b286-4167-a9a5-642873f427ad,f,0.00,4,f,f,60.00,0.25000000000000000000,3,t,0,,f,0,0.306,t,17,0.208,0.160,t
