feature,importance
creation_to_planned_start,10647
revision_recency,7094
num_ma_revisions,5783
num_kpi_revisions,4838
created_dow,4719
planned_duration,4526
created_month,4169
ma_approval_status_encoded,1285
kpi_status_ordinal,1076
is_planned,786
created_is_friday,753
risk_mapping,624
created_quarter,471
status_encoded,392
ma_status_encoded,384
approval_status_encoded,248
created_is_weekend,226
is_cross_dept,140
cross_dept_pair_exists,51
kpi_is_overdue_flag,14
lead_approval_status_encoded,0
num_revisions,0
revision_frequency,0
num_subtasks,0
has_subtasks,0
subtask_completion_pct,0
subtask_overdue_rate,0
task_comment_count,0
avg_sub_status_changes,0
