feature,importance
days_since_update,4913
creation_to_planned_start,2604
planned_duration,1689
num_ma_revisions,1109
created_dow,1100
revision_recency,927
num_kpi_revisions,886
created_month,743
num_revisions,341
ma_approval_status_encoded,300
status_encoded,253
kpi_status_ordinal,219
risk_mapping,202
created_is_friday,152
ma_status_encoded,125
is_planned,85
created_quarter,84
num_subtasks,61
revision_frequency,60
approval_status_encoded,54
is_cross_dept,48
created_is_weekend,41
subtask_completion_pct_at_halfway,38
avg_sub_status_changes,30
lead_approval_status_encoded,23
cross_dept_pair_exists,8
has_subtasks,4
kpi_is_overdue_flag,1
task_comment_count,0
